Time,main.plant_node,main.setpoint,main.out
4.278000e-02,3.191778e+00,3.300000e+00,-2.122165e-01
4.279000e-02,3.407014e+00,3.300000e+00,2.186434e-01
4.280000e-02,3.191950e+00,3.300000e+00,-2.118721e-01
4.281000e-02,3.406843e+00,3.300000e+00,2.182993e-01
4.282000e-02,3.192122e+00,3.300000e+00,-2.115283e-01
4.283000e-02,3.406671e+00,3.300000e+00,2.179557e-01
4.284000e-02,3.192294e+00,3.300000e+00,-2.111850e-01
4.285000e-02,3.406500e+00,3.300000e+00,2.176127e-01
4.286000e-02,3.192466e+00,3.300000e+00,-2.108423e-01
4.287000e-02,3.406329e+00,3.300000e+00,2.172702e-01
4.288000e-02,3.192637e+00,3.300000e+00,-2.105001e-01
4.289000e-02,3.406159e+00,3.300000e+00,2.169283e-01
4.290000e-02,3.192808e+00,3.300000e+00,-2.101585e-01
4.291000e-02,3.405989e+00,3.300000e+00,2.165870e-01
4.292000e-02,3.192978e+00,3.300000e+00,-2.098174e-01
4.293000e-02,3.405819e+00,3.300000e+00,2.162462e-01
4.294000e-02,3.193149e+00,3.300000e+00,-2.094769e-01
4.295000e-02,3.405649e+00,3.300000e+00,2.159059e-01
4.296000e-02,3.193319e+00,3.300000e+00,-2.091369e-01
4.297000e-02,3.405479e+00,3.300000e+00,2.155662e-01
4.298000e-02,3.193488e+00,3.300000e+00,-2.087974e-01
4.299000e-02,3.405310e+00,3.300000e+00,2.152270e-01
4.300000e-02,3.193658e+00,3.300000e+00,-2.084585e-01
4.301000e-02,3.405141e+00,3.300000e+00,2.148883e-01
4.302000e-02,3.193827e+00,3.300000e+00,-2.081201e-01
4.303000e-02,3.404972e+00,3.300000e+00,2.145502e-01
4.304000e-02,3.193996e+00,3.300000e+00,-2.077823e-01
4.305000e-02,3.404804e+00,3.300000e+00,2.142127e-01
4.306000e-02,3.194165e+00,3.300000e+00,-2.074450e-01
4.307000e-02,3.404636e+00,3.300000e+00,2.138756e-01
4.308000e-02,3.194333e+00,3.300000e+00,-2.071082e-01
4.309000e-02,3.404468e+00,3.300000e+00,2.135392e-01
4.310000e-02,3.194502e+00,3.300000e+00,-2.067720e-01
4.311000e-02,3.404300e+00,3.300000e+00,2.132032e-01
4.312000e-02,3.194669e+00,3.300000e+00,-2.064363e-01
4.313000e-02,3.404133e+00,3.300000e+00,2.128678e-01
4.314000e-02,3.194837e+00,3.300000e+00,-2.061012e-01
4.315000e-02,3.403966e+00,3.300000e+00,2.125329e-01
4.316000e-02,3.195004e+00,3.300000e+00,-2.057666e-01
4.317000e-02,3.403799e+00,3.300000e+00,2.121986e-01
4.318000e-02,3.195172e+00,3.300000e+00,-2.054325e-01
4.319000e-02,3.403633e+00,3.300000e+00,2.118648e-01
4.320000e-02,3.195338e+00,3.300000e+00,-2.050990e-01
